,Affluence_Indicator,Apple_Mac_Code,Avg_Household_Income,Avg_Sell_price,Days_group,Expiring_Dollars,Expiring_Students,ID,Lunch_Program_Eligible_Students,Metro_Code,PC_Code,Poverty_Level_Code,Renew_delay,Renewal_Date,Software_budget_per_head,State,Subscription_End_Date,Subscription_Status,Title_1_Code,Training_Budget_Per_head
143,3.0,D,A,7.0,3.0,4200,600,123144,536.0,T,H,D,-63.0,2016-11-29 00:00:00,G,North Carolina,2017-01-31,Renewed,D,D
144,4.0,D,B,7.0,4.0,5600,800,123318,923.0,T,H,D,-18.0,2017-01-13 00:00:00,G,North Carolina,2017-01-31,Renewed,D,D
145,3.0,B,A,7.0,5.0,3220,460,131541,226.0,R,H,D,22.0,2017-02-22 00:00:00,G,South Carolina,2017-01-31,Renewed,D,D
146,4.0,ZZ,N,7.0,2.0,1680,240,162975,0.0,S,ZZ,ZZ,-99.0,2016-10-24 00:00:00,ZZ,Georgia,2017-01-31,Renewed,ZZ,ZZ
147,1.0,ZZ,A,7.0,2.0,1680,240,166278,0.0,U,ZZ,ZZ,-112.0,2016-10-11 00:00:00,ZZ,Georgia,2017-01-31,Renewed,ZZ,ZZ
148,1.0,D,F,7.0,4.0,5425,775,175461,712.0,T,F,C,-5.0,2017-01-26 00:00:00,E,Florida,2017-01-31,Renewed,B,C
149,1.0,H,C,7.0,5.0,1680,240,185442,159.0,U,I,C,13.0,2017-02-13 00:00:00,G,Florida,2017-01-31,Renewed,C,E
151,2.0,J,I,7.0,5.0,3010,430,197814,258.0,S,J,C,1.0,2017-02-01 00:00:00,G,Florida,2017-01-31,Renewed,C,E
152,5.0,J,N,7.0,4.0,2625,375,198879,476.0,S,J,C,-19.0,2017-01-12 00:00:00,G,Florida,2017-01-31,Renewed,C,E
153,1.0,D,G,7.0,3.0,4200,600,220380,257.0,R,F,C,-61.0,2016-12-01 00:00:00,G,Alabama,2017-01-31,Renewed,A,D
154,1.0,G,I,7.0,4.0,4305,615,229563,340.0,R,H,B,-1.0,2017-01-30 00:00:00,G,Alabama,2017-01-31,Renewed,A,E
155,2.0,G,L,7.0,4.0,5425,775,230511,267.0,S,H,B,-1.0,2017-01-30 00:00:00,G,Alabama,2017-01-31,Renewed,A,E
156,3.0,B,B,7.0,11.0,1890,270,232536,268.0,R,G,D,-680.0,2015-03-23 00:00:00,E,Alabama,2017-01-31,Renewed,D,C
157,3.0,E,E,7.0,5.0,3500,500,236694,250.0,T,E,D,22.0,2017-02-22 00:00:00,E,Alabama,2017-01-31,Renewed,C,C
158,2.0,K,C,7.0,5.0,2625,375,236787,259.0,T,F,D,1.0,2017-02-01 00:00:00,E,Alabama,2017-01-31,Renewed,B,C
159,2.0,K,B,7.0,5.0,1680,240,237135,123.0,R,F,D,10.0,2017-02-10 00:00:00,F,Alabama,2017-01-31,Renewed,D,C
160,1.0,F,E,7.0,4.0,2100,300,251535,219.0,U,H,C,-14.0,2017-01-17 00:00:00,G,Tennessee,2017-01-31,Renewed,B,D
161,1.0,I,L,7.0,4.0,2492,356,258663,278.0,S,G,ZZ,-26.0,2017-01-05 00:00:00,G,Tennessee,2017-01-31,Renewed,ZZ,E
162,1.0,K,B,7.0,4.0,2310,330,266781,248.0,R,E,C,-11.0,2017-01-20 00:00:00,D,Mississippi,2017-01-31,Renewed,B,B
163,2.0,A,C,7.0,5.0,1960,280,267441,256.0,R,F,D,15.0,2017-02-15 00:00:00,G,Mississippi,2017-01-31,Renewed,C,C
164,4.0,C,Q,7.0,5.0,3479,497,272649,61.0,S,H,B,6.0,2017-02-06 00:00:00,G,Mississippi,2017-01-31,Renewed,A,D
165,2.0,C,M,7.0,4.0,3500,500,273090,471.0,S,H,B,-1.0,2017-01-30 00:00:00,G,Mississippi,2017-01-31,Renewed,A,D
166,3.0,ZZ,L,7.0,4.0,2695,385,287616,0.0,U,ZZ,ZZ,-19.0,2017-01-12 00:00:00,ZZ,Kentucky,2017-01-31,Renewed,ZZ,ZZ
167,2.0,C,B,7.0,3.0,5250,750,293892,453.0,T,H,D,-56.0,2016-12-06 00:00:00,G,Kentucky,2017-01-31,Renewed,D,D
168,1.0,A,C,7.0,4.0,2240,320,299946,208.0,R,F,D,-18.0,2017-01-13 00:00:00,E,Kentucky,2017-01-31,Renewed,D,C
169,1.0,A,B,7.0,4.0,3850,550,300534,329.0,R,F,D,-6.0,2017-01-25 00:00:00,E,Kentucky,2017-01-31,Renewed,D,C
170,3.0,ZZ,I,7.0,3.0,2100,300,314769,0.0,U,ZZ,ZZ,-41.0,2016-12-21 00:00:00,ZZ,Ohio,2017-01-31,Renewed,ZZ,ZZ
171,1.0,E,I,7.0,3.0,2800,400,340380,215.0,T,E,C,-48.0,2016-12-14 00:00:00,E,Ohio,2017-01-31,Renewed,B,B
172,4.0,ZZ,O,7.0,4.0,1680,240,343083,0.0,S,ZZ,ZZ,-27.0,2017-01-04 00:00:00,ZZ,Ohio,2017-01-31,Renewed,ZZ,ZZ
173,1.0,A,Z,7.0,4.0,1680,240,346800,98.0,R,E,B,-8.0,2017-01-23 00:00:00,E,Ohio,2017-01-31,Renewed,B,B
